Organization Title,All-time Removals,All-time Removals %,All-time Additions,All-time Additions %,All-time Net Change,All-time Net Change %,7-day Removals,7-day Removals %,7-day Additions,7-day Additions %,7-day Net Change,7-day Net Change %,Current Total
"National Oceanic and Atmospheric Administration, Department of Commerce",5743,-5.6%,6184,+6.0%,441,+0.4%,3689,-3.6%,176,+0.2%,-3513,-3.4%,102787
"U.S. Census Bureau, Department of Commerce",299,-0.4%,128,+0.2%,-171,-0.2%,190,-0.2%,0,0.0%,-190,-0.2%,76926
Department of the Interior,476,-1.2%,1621,+4.2%,1145,+3.0%,238,-0.6%,80,+0.2%,-158,-0.4%,38639
National Aeronautics and Space Administration,8741,-38.7%,8964,+39.7%,223,+1.0%,8512,-37.7%,8472,+37.5%,-40,-0.2%,22595
Department of Agriculture,55,-2.0%,131,+4.7%,76,+2.7%,20,-0.7%,0,0.0%,-20,-0.7%,2773
Department of Labor,30,-6.7%,16,+3.6%,-14,-3.1%,21,-4.7%,5,+1.1%,-16,-3.6%,449
Department of Energy,1705,-46.7%,1947,+53.4%,242,+6.6%,21,-0.6%,8,+0.2%,-13,-0.4%,3649
US Agency for International Development,18,-0.9%,51,+2.5%,33,+1.6%,11,-0.5%,0,0.0%,-11,-0.5%,2016
Department of Homeland Security,53,-4.8%,28,+2.5%,-25,-2.3%,9,-0.8%,0,0.0%,-9,-0.8%,1103
Department of Commerce,10,-0.6%,4,+0.2%,-6,-0.4%,8,-0.5%,0,0.0%,-8,-0.5%,1624
National Institute of Standards and Technology,16,-1.4%,91,+7.8%,75,+6.5%,8,-0.7%,0,0.0%,-8,-0.7%,1161
Department of Justice,11,-0.8%,5,+0.4%,-6,-0.4%,6,-0.4%,0,0.0%,-6,-0.4%,1419
Department of Education,5,-0.6%,0,0.0%,-5,-0.6%,5,-0.6%,0,0.0%,-5,-0.6%,858
Department of Veterans Affairs,18,-1.6%,19,+1.6%,1,+0.1%,17,-1.5%,13,+1.1%,-4,-0.3%,1157
Department of Housing and Urban Development,3,-1.4%,0,0.0%,-3,-1.4%,3,-1.4%,0,0.0%,-3,-1.4%,217
Department of the Treasury,3,-1.3%,0,0.0%,-3,-1.3%,3,-1.3%,0,0.0%,-3,-1.3%,230
Social Security Administration,8,-0.8%,5,+0.5%,-3,-0.3%,3,-0.3%,0,0.0%,-3,-0.3%,1034
AmeriCorps,8,-18.2%,7,+15.9%,-1,-2.3%,2,-4.5%,0,0.0%,-2,-4.5%,44
Board of Governors of the Federal Reserve System,113,-68.9%,166,+101.2%,53,+32.3%,2,-1.2%,0,0.0%,-2,-1.2%,164
Commodity Futures Trading Commission,1,-16.7%,0,0.0%,-1,-16.7%,1,-16.7%,0,0.0%,-1,-16.7%,6
Department of State,1,-0.3%,0,0.0%,-1,-0.3%,1,-0.3%,0,0.0%,-1,-0.3%,380
Millennium Challenge Corporation,169,-93.9%,167,+92.8%,-2,-1.1%,1,-0.6%,0,0.0%,-1,-0.6%,180
"Networking and Information Technology Research and Development, Executive Office of the President",1,-0.7%,4,+2.9%,3,+2.2%,1,-0.7%,0,0.0%,-1,-0.7%,136
US International Trade Commission,1,-1.1%,1,+1.1%,0,0.0%,1,-1.1%,0,0.0%,-1,-1.1%,92
U.S. Department of Health & Human Services,497,-21.8%,470,+20.6%,-27,-1.2%,17,-0.7%,285,+12.5%,268,+11.7%,2285
Institute of Museum and Library Services,41,-70.7%,57,+98.3%,16,+27.6%,35,-60.3%,51,+87.9%,16,+27.6%,58
U.S. Environmental Protection Agency,2311,-36.3%,2495,+39.2%,184,+2.9%,92,-1.4%,102,+1.6%,10,+0.2%,6368
"Federal Emergency Management Agency, Department of Homeland Security",0,-0.0%,7,+2.7%,7,+2.7%,0,-0.0%,7,+2.7%,7,+2.7%,255
Department of Transportation,35,-4.3%,43,+5.3%,8,+1.0%,1,-0.1%,7,+0.9%,6,+0.7%,809
Railroad Retirement Board,2,-2.4%,4,+4.8%,2,+2.4%,1,-1.2%,3,+3.6%,2,+2.4%,84
Federal Communications Commission,1,-1.9%,1,+1.9%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,53
Federal Housing Finance Agency,6,-15.4%,7,+17.9%,1,+2.6%,0,-0.0%,0,0.0%,0,0.0%,39
General Services Administration,0,-0.0%,2,+1.2%,2,+1.2%,0,-0.0%,0,0.0%,0,0.0%,169
Georgia Tech Center for GIS College of Architecture,1,0.0%,0,0.0%,-1,0.0%,0,0.0%,0,0.0%,0,0.0%,0
National Credit Union Administration NCUA,13,-56.5%,0,0.0%,-13,-56.5%,0,-0.0%,0,0.0%,0,0.0%,23
National Science Foundation,0,-0.0%,2,+2.9%,2,+2.9%,0,-0.0%,0,0.0%,0,0.0%,70
National Transportation Safety Board,1,-100.0%,1,+100.0%,0,0.0%,1,-100.0%,1,+100.0%,0,0.0%,1
Nuclear Regulatory Commission,0,-0.0%,41,+35.3%,41,+35.3%,0,-0.0%,0,0.0%,0,0.0%,116
Securities and Exchange Commission,0,-0.0%,2,+4.9%,2,+4.9%,0,-0.0%,0,0.0%,0,0.0%,41
"U.S. Geological Survey, Department of the Interior",28,0.0%,0,0.0%,-28,0.0%,0,0.0%,0,0.0%,0,0.0%,0
