Organization Title,All-time Removals,All-time Removals %,All-time Additions,All-time Additions %,All-time Net Change,All-time Net Change %,14-day Removals,14-day Removals %,14-day Additions,14-day Additions %,14-day Net Change,14-day Net Change %,Current Total
National Aeronautics and Space Administration,19801,-77.7%,22899,+89.9%,3098,+12.2%,11060,-43.4%,13935,+54.7%,2875,+11.3%,25470
"U.S. Census Bureau, Department of Commerce",853,-1.1%,852,+1.1%,-1,-0.0%,554,-0.7%,724,+0.9%,170,+0.2%,77096
Department of the Interior,1137,-2.9%,2444,+6.3%,1307,+3.4%,661,-1.7%,823,+2.1%,162,+0.4%,38801
"National Oceanic and Atmospheric Administration, Department of Commerce",6890,-6.7%,7452,+7.2%,562,+0.5%,1147,-1.1%,1268,+1.2%,121,+0.1%,102908
U.S. Environmental Protection Agency,2408,-37.4%,2664,+41.4%,256,+4.0%,97,-1.5%,169,+2.6%,72,+1.1%,6440
Department of Energy,1717,-46.4%,2008,+54.3%,291,+7.9%,12,-0.3%,61,+1.6%,49,+1.3%,3698
U.S. Department of Health & Human Services,513,-22.1%,526,+22.6%,13,+0.6%,16,-0.7%,56,+2.4%,40,+1.7%,2325
Department of Agriculture,73,-2.6%,188,+6.7%,115,+4.1%,18,-0.6%,57,+2.0%,39,+1.4%,2812
"Federal Emergency Management Agency, Department of Homeland Security",1,-0.4%,27,+9.9%,26,+9.5%,1,-0.4%,20,+7.3%,19,+6.9%,274
US Agency for International Development,36,-1.8%,80,+3.9%,44,+2.2%,18,-0.9%,29,+1.4%,11,+0.5%,2027
Nuclear Regulatory Commission,2,-1.6%,53,+42.1%,51,+40.5%,2,-1.6%,12,+9.5%,10,+7.9%,126
Department of Homeland Security,59,-5.3%,43,+3.9%,-16,-1.4%,6,-0.5%,15,+1.3%,9,+0.8%,1112
Department of Commerce,12,-0.7%,14,+0.9%,2,+0.1%,2,-0.1%,10,+0.6%,8,+0.5%,1632
National Institute of Standards and Technology,25,-2.1%,108,+9.2%,83,+7.1%,9,-0.8%,17,+1.5%,8,+0.7%,1169
US International Trade Commission,1,-1.0%,8,+8.1%,7,+7.1%,0,-0.0%,7,+7.1%,7,+7.1%,99
Department of Justice,14,-1.0%,14,+1.0%,0,0.0%,3,-0.2%,9,+0.6%,6,+0.4%,1425
Department of Transportation,47,-5.8%,61,+7.5%,14,+1.7%,12,-1.5%,18,+2.2%,6,+0.7%,815
Department of Education,10,-1.2%,10,+1.2%,0,0.0%,5,-0.6%,10,+1.2%,5,+0.6%,863
Department of Labor,31,-6.8%,21,+4.6%,-10,-2.2%,1,-0.2%,5,+1.1%,4,+0.9%,453
Department of Veterans Affairs,21,-1.8%,26,+2.2%,5,+0.4%,3,-0.3%,7,+0.6%,4,+0.3%,1161
AmeriCorps,8,-17.0%,10,+21.3%,2,+4.3%,0,-0.0%,3,+6.4%,3,+6.4%,47
Department of Housing and Urban Development,3,-1.4%,3,+1.4%,0,0.0%,0,-0.0%,3,+1.4%,3,+1.4%,220
Department of the Treasury,3,-1.3%,3,+1.3%,0,0.0%,0,-0.0%,3,+1.3%,3,+1.3%,233
Social Security Administration,11,-1.1%,11,+1.1%,0,0.0%,3,-0.3%,6,+0.6%,3,+0.3%,1037
Board of Governors of the Federal Reserve System,115,-69.3%,170,+102.4%,55,+33.1%,2,-1.2%,4,+2.4%,2,+1.2%,166
Commodity Futures Trading Commission,1,-14.3%,1,+14.3%,0,0.0%,0,-0.0%,1,+14.3%,1,+14.3%,7
Department of State,2,-0.5%,2,+0.5%,0,0.0%,1,-0.3%,2,+0.5%,1,+0.3%,381
Millennium Challenge Corporation,169,-93.4%,168,+92.8%,-1,-0.6%,0,-0.0%,1,+0.6%,1,+0.6%,181
"Networking and Information Technology Research and Development, Executive Office of the President",1,-0.7%,5,+3.6%,4,+2.9%,0,-0.0%,1,+0.7%,1,+0.7%,137
Railroad Retirement Board,2,-2.4%,5,+5.9%,3,+3.5%,0,-0.0%,1,+1.2%,1,+1.2%,85
Department of Defense,1,-0.6%,1,+0.6%,0,0.0%,1,-0.6%,1,+0.6%,0,0.0%,175
Federal Communications Commission,2,-3.8%,2,+3.8%,0,0.0%,1,-1.9%,1,+1.9%,0,0.0%,53
Federal Housing Finance Agency,6,-15.4%,7,+17.9%,1,+2.6%,0,-0.0%,0,0.0%,0,0.0%,39
Federal Laboratory Consortium,1,-0.5%,1,+0.5%,0,0.0%,1,-0.5%,1,+0.5%,0,0.0%,200
Federal Trade Commission,1,-1.1%,1,+1.1%,0,0.0%,1,-1.1%,1,+1.1%,0,0.0%,95
General Services Administration,0,-0.0%,2,+1.2%,2,+1.2%,0,-0.0%,0,0.0%,0,0.0%,169
Georgia Tech Center for GIS College of Architecture,1,0.0%,0,0.0%,-1,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Institute of Museum and Library Services,43,-74.1%,59,+101.7%,16,+27.6%,2,-3.4%,2,+3.4%,0,0.0%,58
National Credit Union Administration NCUA,13,-56.5%,0,0.0%,-13,-56.5%,0,-0.0%,0,0.0%,0,0.0%,23
National Endowment for the Humanities,1,-2.1%,1,+2.1%,0,0.0%,1,-2.1%,1,+2.1%,0,0.0%,48
National Science Foundation,0,-0.0%,2,+2.9%,2,+2.9%,0,-0.0%,0,0.0%,0,0.0%,70
National Transportation Safety Board,1,-100.0%,1,+100.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1
Office of Personnel Management,1,-0.7%,1,+0.7%,0,0.0%,1,-0.7%,1,+0.7%,0,0.0%,134
Securities and Exchange Commission,0,-0.0%,2,+4.9%,2,+4.9%,0,-0.0%,0,0.0%,0,0.0%,41
Small Business Administration,3,-5.3%,3,+5.3%,0,0.0%,3,-5.3%,3,+5.3%,0,0.0%,57
"U.S. Geological Survey, Department of the Interior",28,0.0%,0,0.0%,-28,0.0%,0,0.0%,0,0.0%,0,0.0%,0
