Organization Title,All-time Removals,All-time Removals %,All-time Additions,All-time Additions %,All-time Net Change,All-time Net Change %,7-day Removals,7-day Removals %,7-day Additions,7-day Additions %,7-day Net Change,7-day Net Change %,30-day Removals,30-day Removals %,30-day Additions,30-day Additions %,30-day Net Change,30-day Net Change %,Current Total
National Aeronautics and Space Administration,19801,-77.7%,22899,+89.9%,3098,+12.2%,3988,-15.7%,437,+1.7%,-3551,-13.9%,19572,-76.8%,22407,+88.0%,2835,+11.1%,25470
"National Oceanic and Atmospheric Administration, Department of Commerce",6890,-6.7%,7452,+7.2%,562,+0.5%,482,-0.5%,373,+0.4%,-109,-0.1%,4836,-4.7%,1444,+1.4%,-3392,-3.3%,102908
Department of the Interior,1137,-2.9%,2444,+6.3%,1307,+3.4%,234,-0.6%,262,+0.7%,28,+0.1%,899,-2.3%,903,+2.3%,4,+0.0%,38801
"U.S. Census Bureau, Department of Commerce",853,-1.1%,852,+1.1%,-1,-0.0%,162,-0.2%,184,+0.2%,22,+0.0%,744,-1.0%,724,+0.9%,-20,-0.0%,77096
Department of Agriculture,73,-2.6%,188,+6.7%,115,+4.1%,3,-0.1%,22,+0.8%,19,+0.7%,38,-1.4%,57,+2.0%,19,+0.7%,2812
Nuclear Regulatory Commission,2,-1.6%,53,+42.1%,51,+40.5%,0,-0.0%,10,+7.9%,10,+7.9%,2,-1.6%,12,+9.5%,10,+7.9%,126
U.S. Environmental Protection Agency,2408,-37.4%,2664,+41.4%,256,+4.0%,8,-0.1%,18,+0.3%,10,+0.2%,189,-2.9%,271,+4.2%,82,+1.3%,6440
U.S. Department of Health & Human Services,513,-22.1%,526,+22.6%,13,+0.6%,1,-0.0%,10,+0.4%,9,+0.4%,33,-1.4%,341,+14.7%,308,+13.2%,2325
Department of Energy,1717,-46.4%,2008,+54.3%,291,+7.9%,1,-0.0%,7,+0.2%,6,+0.2%,33,-0.9%,69,+1.9%,36,+1.0%,3698
US International Trade Commission,1,-1.0%,8,+8.1%,7,+7.1%,0,-0.0%,6,+6.1%,6,+6.1%,1,-1.0%,7,+7.1%,6,+6.1%,99
Department of Transportation,47,-5.8%,61,+7.5%,14,+1.7%,9,-1.1%,12,+1.5%,3,+0.4%,13,-1.6%,25,+3.1%,12,+1.5%,815
"Federal Emergency Management Agency, Department of Homeland Security",1,-0.4%,27,+9.9%,26,+9.5%,0,-0.0%,2,+0.7%,2,+0.7%,1,-0.4%,27,+9.9%,26,+9.5%,274
AmeriCorps,8,-17.0%,10,+21.3%,2,+4.3%,0,-0.0%,0,0.0%,0,0.0%,2,-4.3%,3,+6.4%,1,+2.1%,47
Board of Governors of the Federal Reserve System,115,-69.3%,170,+102.4%,55,+33.1%,0,-0.0%,0,0.0%,0,0.0%,4,-2.4%,4,+2.4%,0,0.0%,166
Commodity Futures Trading Commission,1,-14.3%,1,+14.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1,-14.3%,1,+14.3%,0,0.0%,7
Department of Commerce,12,-0.7%,14,+0.9%,2,+0.1%,0,-0.0%,0,0.0%,0,0.0%,10,-0.6%,10,+0.6%,0,0.0%,1632
Department of Defense,1,-0.6%,1,+0.6%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1,-0.6%,1,+0.6%,0,0.0%,175
Department of Education,10,-1.2%,10,+1.2%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,10,-1.2%,10,+1.2%,0,0.0%,863
Department of Homeland Security,59,-5.3%,43,+3.9%,-16,-1.4%,0,-0.0%,0,0.0%,0,0.0%,15,-1.3%,15,+1.3%,0,0.0%,1112
Department of Housing and Urban Development,3,-1.4%,3,+1.4%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,3,-1.4%,3,+1.4%,0,0.0%,220
Department of Justice,14,-1.0%,14,+1.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,9,-0.6%,9,+0.6%,0,0.0%,1425
Department of Labor,31,-6.8%,21,+4.6%,-10,-2.2%,0,-0.0%,0,0.0%,0,0.0%,22,-4.9%,10,+2.2%,-12,-2.6%,453
Department of State,2,-0.5%,2,+0.5%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,2,-0.5%,2,+0.5%,0,0.0%,381
Department of Veterans Affairs,21,-1.8%,26,+2.2%,5,+0.4%,0,-0.0%,0,0.0%,0,0.0%,20,-1.7%,20,+1.7%,0,0.0%,1161
Department of the Treasury,3,-1.3%,3,+1.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,3,-1.3%,3,+1.3%,0,0.0%,233
Federal Communications Commission,2,-3.8%,2,+3.8%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1,-1.9%,1,+1.9%,0,0.0%,53
Federal Housing Finance Agency,6,-15.4%,7,+17.9%,1,+2.6%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,39
Federal Laboratory Consortium,1,-0.5%,1,+0.5%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1,-0.5%,1,+0.5%,0,0.0%,200
Federal Trade Commission,1,-1.1%,1,+1.1%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1,-1.1%,1,+1.1%,0,0.0%,95
General Services Administration,0,-0.0%,2,+1.2%,2,+1.2%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,169
Georgia Tech Center for GIS College of Architecture,1,0.0%,0,0.0%,-1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Institute of Museum and Library Services,43,-74.1%,59,+101.7%,16,+27.6%,0,-0.0%,0,0.0%,0,0.0%,37,-63.8%,53,+91.4%,16,+27.6%,58
Millennium Challenge Corporation,169,-93.4%,168,+92.8%,-1,-0.6%,0,-0.0%,0,0.0%,0,0.0%,1,-0.6%,1,+0.6%,0,0.0%,181
National Credit Union Administration NCUA,13,-56.5%,0,0.0%,-13,-56.5%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,23
National Endowment for the Humanities,1,-2.1%,1,+2.1%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1,-2.1%,1,+2.1%,0,0.0%,48
National Institute of Standards and Technology,25,-2.1%,108,+9.2%,83,+7.1%,0,-0.0%,0,0.0%,0,0.0%,17,-1.5%,17,+1.5%,0,0.0%,1169
National Science Foundation,0,-0.0%,2,+2.9%,2,+2.9%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,70
National Transportation Safety Board,1,-100.0%,1,+100.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1,-100.0%,1,+100.0%,0,0.0%,1
"Networking and Information Technology Research and Development, Executive Office of the President",1,-0.7%,5,+3.6%,4,+2.9%,0,-0.0%,0,0.0%,0,0.0%,1,-0.7%,1,+0.7%,0,0.0%,137
Office of Personnel Management,1,-0.7%,1,+0.7%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1,-0.7%,1,+0.7%,0,0.0%,134
Railroad Retirement Board,2,-2.4%,5,+5.9%,3,+3.5%,0,-0.0%,0,0.0%,0,0.0%,1,-1.2%,4,+4.7%,3,+3.5%,85
Securities and Exchange Commission,0,-0.0%,2,+4.9%,2,+4.9%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,41
Small Business Administration,3,-5.3%,3,+5.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,3,-5.3%,3,+5.3%,0,0.0%,57
Social Security Administration,11,-1.1%,11,+1.1%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,6,-0.6%,6,+0.6%,0,0.0%,1037
"U.S. Geological Survey, Department of the Interior",28,0.0%,0,0.0%,-28,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
US Agency for International Development,36,-1.8%,80,+3.9%,44,+2.2%,0,-0.0%,0,0.0%,0,0.0%,29,-1.4%,29,+1.4%,0,0.0%,2027
