Organization Title,All-time Removals,All-time Removals %,All-time Additions,All-time Additions %,All-time Net Change,All-time Net Change %,30-day Removals,30-day Removals %,30-day Additions,30-day Additions %,30-day Net Change,30-day Net Change %,7-day Removals,7-day Removals %,7-day Additions,7-day Additions %,7-day Net Change,7-day Net Change %,Current Total
Department of Transportation,55,-6.8%,65,+8.0%,10,+1.2%,4,-0.5%,1,+0.1%,-3,-0.4%,6,-0.7%,4,+0.5%,-2,-0.2%,811
Department of the Treasury,4,-1.7%,3,+1.3%,-1,-0.4%,1,-0.4%,0,0.0%,-1,-0.4%,1,-0.4%,0,0.0%,-1,-0.4%,232
"National Oceanic and Atmospheric Administration, Department of Commerce",106825,-103.5%,107691,+104.3%,866,+0.8%,56,-0.1%,60,+0.1%,4,+0.0%,130,-0.1%,457,+0.4%,327,+0.3%,103212
National Aeronautics and Space Administration,45904,-176.6%,49532,+190.5%,3628,+14.0%,0,-0.0%,0,0.0%,0,0.0%,356,-1.4%,628,+2.4%,272,+1.0%,26000
Department of Homeland Security,71,-5.8%,167,+13.6%,96,+7.8%,12,-1.0%,124,+10.1%,112,+9.2%,12,-1.0%,124,+10.1%,112,+9.2%,1224
Department of the Interior,39880,-102.2%,41407,+106.1%,1527,+3.9%,35,-0.1%,13,+0.0%,-22,-0.1%,62,-0.2%,147,+0.4%,85,+0.2%,39021
U.S. Environmental Protection Agency,8403,-128.3%,8768,+133.9%,365,+5.6%,26,-0.4%,45,+0.7%,19,+0.3%,30,-0.5%,81,+1.2%,51,+0.8%,6549
Social Security Administration,11,-1.0%,37,+3.5%,26,+2.4%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,26,+2.4%,26,+2.4%,1063
Department of Agriculture,126,-4.5%,258,+9.1%,132,+4.7%,17,-0.6%,40,+1.4%,23,+0.8%,17,-0.6%,40,+1.4%,23,+0.8%,2829
Department of Energy,1721,-46.2%,2042,+54.8%,321,+8.6%,1,-0.0%,5,+0.1%,4,+0.1%,4,-0.1%,18,+0.5%,14,+0.4%,3728
Nuclear Regulatory Commission,2,-1.5%,63,+46.3%,61,+44.9%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,10,+7.4%,10,+7.4%,136
